Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
SprintzXff -59,42050332,425.22,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2871.1,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.05
SprintzXff -60,42035302,431.17,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2815.95,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.04
SprintzXff -61,42216698,369.08,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2898.78,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.22
SprintzXff -62,41935178,382.76,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2909.65,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.94
SprintzXff -63,42173536,391.28,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2740.93,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.17
SprintzXff -64,42077288,386.79,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2851.59,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.08
SprintzXff -65,41893849,402.56,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2113.56,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.89
SprintzXff -66,42167040,370.95,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2207.27,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.17
SprintzXff -67,42025657,381.69,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2174.99,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.03
SprintzXff -68,41905933,355.5,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2219.77,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.91
