Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Simple8B,33760,626.4,ucr,1144.59,/colmajor/uint8-as-uint32/ucr/Gun_Point.dat,1,0,8,f,123980,None,27.23
SIMDBP128,52448,1796.61,ucr,2178.69,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurface.dat,1,0,8,f,186280,None,28.16
FastPFOR,52472,626.58,ucr,1485.1,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurface.dat,1,0,8,f,186280,None,28.17
Simple8B,53184,536.8,ucr,1196.93,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurface.dat,1,0,8,f,186280,None,28.55
SIMDBP128,259344,2217.81,ucr,2410.07,/colmajor/uint8-as-uint32/ucr/WormsTwoClass.dat,1,0,8,f,933940,None,27.77
FastPFOR,260640,612.74,ucr,1606.66,/colmajor/uint8-as-uint32/ucr/WormsTwoClass.dat,1,0,8,f,933940,None,27.91
Simple8B,258500,743.51,ucr,1399.79,/colmajor/uint8-as-uint32/ucr/WormsTwoClass.dat,1,0,8,f,933940,None,27.68
SIMDBP128,142756,1985.41,ucr,2412.08,/colmajor/uint8-as-uint32/ucr/FISH.dat,1,0,8,f,655180,None,21.79
FastPFOR,143348,635.81,ucr,1632.39,/colmajor/uint8-as-uint32/ucr/FISH.dat,1,0,8,f,655180,None,21.88
Simple8B,120152,775.53,ucr,1279.91,/colmajor/uint8-as-uint32/ucr/FISH.dat,1,0,8,f,655180,None,18.34
SIMDBP128,1592280,3234.42,ucr,3925.62,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Z.dat,1,0,8,f,5731820,None,27.78
FastPFOR,1607112,1303.8,ucr,3239.33,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Z.dat,1,0,8,f,5731820,None,28.04
Simple8B,1563648,1541.88,ucr,3031.13,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Z.dat,1,0,8,f,5731820,None,27.28
SIMDBP128,3095724,3848.43,ucr,3902.48,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax2.dat,1,0,8,f,11370280,None,27.23
FastPFOR,3126224,1144.37,ucr,3144.19,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax2.dat,1,0,8,f,11370280,None,27.49
Simple8B,3067568,1690.79,ucr,2916.89,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax2.dat,1,0,8,f,11370280,None,26.98
SIMDBP128,95336,3034.8,ucr,3845.72,/colmajor/uint8-as-uint32/ucr/Ham.dat,1,0,8,f,373196,None,25.55
FastPFOR,91436,518.35,ucr,2145.85,/colmajor/uint8-as-uint32/ucr/Ham.dat,1,0,8,f,373196,None,24.5
Simple8B,81228,1050.82,ucr,1845.83,/colmajor/uint8-as-uint32/ucr/Ham.dat,1,0,8,f,373196,None,21.77
SIMDBP128,2442628,3865.35,ucr,3697.28,/colmajor/uint8-as-uint32/ucr/Phoneme.dat,1,0,8,f,8684740,None,28.13
FastPFOR,2442612,1351.14,ucr,3111.63,/colmajor/uint8-as-uint32/ucr/Phoneme.dat,1,0,8,f,8684740,None,28.13
Simple8B,2509728,1394.2,ucr,2840.91,/colmajor/uint8-as-uint32/ucr/Phoneme.dat,1,0,8,f,8684740,None,28.9
SIMDBP128,53008,4236.45,ucr,5272.23,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineAgeGroup.dat,1,0,8,f,188340,None,28.14
FastPFOR,53036,1502.97,ucr,2526.6,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineAgeGroup.dat,1,0,8,f,188340,None,28.16
Simple8B,51256,1172.72,ucr,1830.21,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineAgeGroup.dat,1,0,8,f,188340,None,27.21
SIMDBP128,267712,3044.96,ucr,3442.19,/colmajor/uint8-as-uint32/ucr/Cricket_Y.dat,1,0,8,f,951580,None,28.13
FastPFOR,267696,948.97,ucr,2348.64,/colmajor/uint8-as-uint32/ucr/Cricket_Y.dat,1,0,8,f,951580,None,28.13
Simple8B,278600,1092.39,ucr,2326.99,/colmajor/uint8-as-uint32/ucr/Cricket_Y.dat,1,0,8,f,951580,None,29.28
SIMDBP128,74036,2664.43,ucr,3142.43,/colmajor/uint8-as-uint32/ucr/Herring.dat,1,0,8,f,264684,None,27.97
FastPFOR,74484,892.45,ucr,2265.47,/colmajor/uint8-as-uint32/ucr/Herring.dat,1,0,8,f,264684,None,28.14
Simple8B,71532,1033.5,ucr,1942.78,/colmajor/uint8-as-uint32/ucr/Herring.dat,1,0,8,f,264684,None,27.03
SIMDBP128,52888,2577.04,ucr,2836.49,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxTW.dat,1,0,8,f,188000,None,28.13
FastPFOR,52920,925.29,ucr,1222.49,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxTW.dat,1,0,8,f,188000,None,28.15
Simple8B,50912,573.13,ucr,1234.42,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxTW.dat,1,0,8,f,188000,None,27.08
SIMDBP128,244488,2023.8,ucr,2369.35,/colmajor/uint8-as-uint32/ucr/Cricket_X.dat,1,0,8,f,951580,None,25.69
FastPFOR,237896,493.2,ucr,1636.11,/colmajor/uint8-as-uint32/ucr/Cricket_X.dat,1,0,8,f,951580,None,25.0
